Team,Best_Seed,Peak_Stage
Spain,1989,Champion
France,1990,Champion
England,1986,Final
Germany,1987,Final
Portugal,1989,Quarterfinals
Netherlands,1991,Semifinals
Argentina,1991,Champion
Brazil,1998,Semifinals
Belgium,1998,Final
Norway,1986,Champion
Morocco,1987,Champion
Turkey,1986,Semifinals
Ivory Coast,1997,Champion
United States,1986,Quarterfinals
Senegal,1993,Champion
Japan,1996,Final
Algeria,1987,Semifinals
Switzerland,1988,Champion
Sweden,1992,Semifinals
Colombia,1990,Quarterfinals
Croatia,1990,Semifinals
Austria,1991,Final
Czech Republic,1987,Quarterfinals
Mexico,1995,Champion
South Korea,1995,Quarterfinals
Uruguay,1999,Final
Ecuador,1990,Final
Scotland,1993,Semifinals
Canada,1988,Final
Iran,1990,Quarterfinals
Egypt,1987,Quarterfinals
Uzbekistan,1987,Round of 32
Ghana,1986,Quarterfinals
Australia,1995,Final
DR Congo,1998,Champion
South Africa,1989,Round of 32
Haiti,1994,Round of 16
Bosnia and Herzegovina,1988,Quarterfinals
Paraguay,1991,Quarterfinals
Jordan,1995,Round of 32
Panama,1986,Round of 32
Tunisia,1993,Quarterfinals
Cape Verde,1993,Quarterfinals
Qatar,1986,Round of 16
Curaçao,1987,Round of 32
Iraq,1995,Round of 32
Saudi Arabia,1987,Round of 16
New Zealand,1993,Final
