Match_ID,Stage,Match,Logical_Score,Logical_Prob_%,Unexpected_Score,Unexpected_Prob_%
1,Group Stage,Mexico vs South Africa,1 - 0,14.12,3 - 4,0.11
2,Group Stage,Mexico vs South Korea,1 - 1,14.12,0 - 5,0.1
3,Group Stage,Mexico vs Czech Republic,1 - 1,13.91,1 - 5,0.11
4,Group Stage,South Africa vs South Korea,1 - 1,12.92,1 - 6,0.13
5,Group Stage,South Africa vs Czech Republic,1 - 1,13.07,5 - 1,0.11
6,Group Stage,South Korea vs Czech Republic,1 - 1,13.81,2 - 5,0.1
7,Group Stage,Canada vs Bosnia and Herzegovina,1 - 0,17.93,0 - 4,0.13
8,Group Stage,Canada vs Qatar,1 - 0,14.26,6 - 2,0.11
9,Group Stage,Canada vs Switzerland,1 - 1,14.1,3 - 4,0.1
10,Group Stage,Bosnia and Herzegovina vs Qatar,1 - 1,12.9,6 - 1,0.13
11,Group Stage,Bosnia and Herzegovina vs Switzerland,0 - 1,15.47,4 - 0,0.12
12,Group Stage,Qatar vs Switzerland,0 - 2,12.7,2 - 7,0.11
13,Group Stage,Brazil vs Morocco,0 - 0,18.87,0 - 5,0.14
14,Group Stage,Brazil vs Haiti,2 - 0,14.38,7 - 1,0.11
15,Group Stage,Brazil vs Scotland,1 - 0,14.87,2 - 4,0.12
16,Group Stage,Morocco vs Haiti,1 - 0,18.1,0 - 3,0.14
17,Group Stage,Morocco vs Scotland,1 - 0,19.09,5 - 2,0.14
18,Group Stage,Haiti vs Scotland,1 - 1,13.63,5 - 0,0.11
19,Group Stage,United States vs Paraguay,1 - 0,16.8,2 - 4,0.12
20,Group Stage,United States vs Australia,1 - 0,15.16,4 - 3,0.14
21,Group Stage,United States vs Turkey,1 - 1,13.66,5 - 2,0.14
22,Group Stage,Paraguay vs Australia,0 - 0,18.47,4 - 2,0.15
23,Group Stage,Paraguay vs Turkey,0 - 1,15.87,0 - 6,0.1
24,Group Stage,Australia vs Turkey,0 - 1,14.17,4 - 3,0.1
25,Group Stage,Germany vs Curaçao,2 - 0,12.72,0 - 3,0.12
26,Group Stage,Germany vs Ivory Coast,1 - 1,13.95,2 - 5,0.1
27,Group Stage,Germany vs Ecuador,1 - 0,14.62,4 - 3,0.11
28,Group Stage,Curaçao vs Ivory Coast,0 - 2,16.68,3 - 4,0.12
29,Group Stage,Curaçao vs Ecuador,0 - 1,18.79,2 - 5,0.15
30,Group Stage,Ivory Coast vs Ecuador,0 - 0,21.52,4 - 2,0.13
31,Group Stage,Netherlands vs Japan,1 - 1,14.07,0 - 5,0.1
32,Group Stage,Netherlands vs Sweden,1 - 1,12.09,6 - 2,0.1
33,Group Stage,Netherlands vs Tunisia,1 - 0,15.34,2 - 4,0.11
34,Group Stage,Japan vs Sweden,1 - 0,13.54,3 - 4,0.12
35,Group Stage,Japan vs Tunisia,1 - 0,18.2,1 - 4,0.11
36,Group Stage,Sweden vs Tunisia,1 - 0,13.68,3 - 4,0.12
37,Group Stage,Belgium vs Egypt,1 - 0,16.45,4 - 3,0.1
38,Group Stage,Belgium vs Iran,2 - 0,12.22,7 - 1,0.1
39,Group Stage,Belgium vs New Zealand,2 - 0,16.07,0 - 3,0.12
40,Group Stage,Egypt vs Iran,1 - 1,13.79,3 - 4,0.11
41,Group Stage,Egypt vs New Zealand,1 - 0,18.11,6 - 1,0.12
42,Group Stage,Iran vs New Zealand,1 - 0,12.87,3 - 4,0.14
43,Group Stage,Spain vs Cape Verde,2 - 0,15.27,0 - 3,0.15
44,Group Stage,Spain vs Saudi Arabia,2 - 0,15.57,4 - 3,0.16
45,Group Stage,Spain vs Uruguay,1 - 0,17.35,2 - 4,0.11
46,Group Stage,Cape Verde vs Saudi Arabia,1 - 1,13.89,3 - 4,0.1
47,Group Stage,Cape Verde vs Uruguay,0 - 1,19.27,0 - 6,0.12
48,Group Stage,Saudi Arabia vs Uruguay,0 - 1,19.9,2 - 5,0.11
49,Group Stage,France vs Senegal,1 - 0,15.31,5 - 1,0.17
50,Group Stage,France vs Iraq,2 - 0,14.37,5 - 3,0.11
51,Group Stage,France vs Norway,1 - 1,13.41,3 - 4,0.13
52,Group Stage,Senegal vs Iraq,2 - 0,17.26,0 - 3,0.12
53,Group Stage,Senegal vs Norway,0 - 0,16.37,5 - 1,0.1
54,Group Stage,Iraq vs Norway,0 - 2,15.27,3 - 0,0.16
55,Group Stage,Argentina vs Algeria,1 - 0,19.11,0 - 4,0.11
56,Group Stage,Argentina vs Austria,1 - 0,19.42,6 - 0,0.15
57,Group Stage,Argentina vs Jordan,2 - 0,14.93,7 - 2,0.12
58,Group Stage,Algeria vs Austria,1 - 0,15.28,4 - 3,0.1
59,Group Stage,Algeria vs Jordan,2 - 0,13.56,7 - 2,0.11
60,Group Stage,Austria vs Jordan,2 - 0,11.87,3 - 4,0.16
61,Group Stage,Portugal vs DR Congo,1 - 0,19.03,6 - 0,0.14
62,Group Stage,Portugal vs Uzbekistan,1 - 0,14.97,2 - 4,0.12
63,Group Stage,Portugal vs Colombia,1 - 0,14.34,5 - 2,0.15
