,Make R32,Make R16,Make QF,Make SF,Make Final,Win World Cup
Argentina,97.79,70.43,49.68000000000001,32.21000000000001,21.590000000000007,13.56
Morocco,94.66,70.37,50.31,32.8,18.339999999999996,10.33
England,98.23,65.26,43.92,27.55,17.590000000000003,10.08
France,95.72,69.0,44.0,25.720000000000002,15.880000000000003,9.3
Spain,98.07,71.25,44.91,25.619999999999997,15.639999999999997,8.97
Brazil,90.81,64.12,41.870000000000005,24.92,12.250000000000002,6.069999999999999
Portugal,91.17,64.97,33.78999999999999,18.68999999999999,10.829999999999991,5.510000000000001
Netherlands,87.41,55.72,32.31999999999999,16.999999999999993,8.129999999999992,4.01
Senegal,87.7,52.910000000000004,29.980000000000004,14.690000000000003,7.410000000000003,3.51
Germany,91.93,57.61000000000001,33.370000000000005,17.670000000000005,7.650000000000006,3.4299999999999997
Ivory Coast,89.59,53.13,29.490000000000002,15.070000000000002,6.8100000000000005,2.98
Norway,85.48,50.13,26.44,12.930000000000001,6.260000000000002,2.86
Algeria,88.08,45.97,25.23,12.32,5.890000000000001,2.5100000000000002
Belgium,95.79,56.05000000000001,25.81000000000001,11.73000000000001,5.410000000000009,2.4
Japan,82.93,47.24000000000001,25.56000000000001,13.14000000000001,5.580000000000009,2.31
Uruguay,88.22,42.76,20.79,8.729999999999999,3.839999999999999,1.4500000000000002
Ecuador,81.64,41.510000000000005,19.740000000000006,8.900000000000006,3.4200000000000053,1.43
Colombia,76.51,43.31,16.87,7.6800000000000015,3.5600000000000014,1.27
United States,82.25,37.620000000000005,16.820000000000004,7.060000000000004,2.940000000000004,1.09
Switzerland,92.68,44.720000000000006,18.390000000000008,7.620000000000008,2.620000000000008,0.9900000000000001
Turkey,82.22,37.96,17.0,7.07,2.45,0.88
Mexico,81.48,35.050000000000004,14.370000000000005,5.780000000000005,2.1200000000000045,0.74
Austria,74.3,30.799999999999997,13.239999999999995,5.029999999999994,1.869999999999994,0.7000000000000001
Croatia,78.94,35.73,14.559999999999995,5.229999999999995,2.069999999999995,0.65
Canada,88.2,38.93,16.14,6.07,1.88,0.64
Sweden,62.15,26.419999999999995,10.829999999999993,4.229999999999992,1.1199999999999926,0.38
South Korea,75.48,29.120000000000005,10.740000000000006,3.6600000000000055,1.1700000000000057,0.32
Czech Republic,70.46000000000001,25.440000000000012,9.09000000000001,2.9600000000000106,0.9500000000000108,0.32
DR Congo,51.84,22.850000000000005,7.200000000000005,2.3600000000000048,0.7600000000000047,0.27999999999999997
Egypt,79.24,30.519999999999996,9.519999999999996,3.0099999999999953,0.9399999999999955,0.26
Scotland,42.54,16.310000000000002,5.270000000000003,1.6700000000000035,0.40000000000000346,0.16999999999999998
Uzbekistan,45.089999999999996,18.179999999999996,5.079999999999995,1.5399999999999947,0.5399999999999947,0.13999999999999999
Ghana,55.18,19.020000000000003,5.470000000000002,1.610000000000002,0.40000000000000213,0.11
Paraguay,52.36,15.920000000000002,4.570000000000002,1.220000000000002,0.32000000000000206,0.08
Australia,51.85,14.96,4.290000000000001,1.120000000000001,0.260000000000001,0.06999999999999999
Iran,65.97,18.980000000000004,4.140000000000004,1.060000000000004,0.30000000000000404,0.06
Bosnia and Herzegovina,61.04,16.18,3.8000000000000007,0.9900000000000007,0.14000000000000057,0.04
Tunisia,35.75,11.48,3.7800000000000002,1.0100000000000002,0.15000000000000024,0.03
Haiti,31.810000000000002,10.440000000000001,2.9300000000000015,0.6600000000000015,0.14000000000000146,0.03
Cape Verde,42.84,10.090000000000003,2.4600000000000026,0.5700000000000025,0.15000000000000252,0.02
South Africa,43.92,10.440000000000005,2.7500000000000053,0.5800000000000054,0.1500000000000054,0.01
New Zealand,23.560000000000002,3.440000000000005,0.4100000000000046,0.07000000000000461,0.010000000000004616,0.01
Panama,26.47,5.419999999999998,0.969999999999998,0.13999999999999801,0.029999999999998014,0.0
Saudi Arabia,25.400000000000006,4.500000000000007,0.9100000000000068,0.12000000000000677,0.020000000000006762,0.0
Curaçao,11.590000000000003,1.7900000000000027,0.3100000000000027,0.06000000000000272,0.010000000000002715,0.0
Jordan,10.439999999999998,1.429999999999998,0.20999999999999797,0.019999999999997964,0.009999999999997964,0.0
Iraq,7.609999999999999,1.4399999999999995,0.25999999999999956,0.06999999999999956,-4.3021142204224816e-16,0.0
Qatar,25.61,3.0799999999999983,0.40999999999999837,0.03999999999999837,-1.6306400674181987e-15,0.0
