Team,Squad size,avg_age,Market Value,avg market value of players
Spain,26,26.8,€1.22bn,€47.03m
Portugal,26,28.1,€1.01bn,€38.67m
Japan,26,27.8,€270.85m,€10.42m
Norway,26,26.8,€589.90m,€22.69m
Germany,26,28.1,€947.00m,€36.42m
Netherlands,26,27.8,€754.20m,€29.01m
Belgium,26,27.6,€547.50m,€21.06m
England,26,27.2,€1.36bn,€52.43m
Morocco,26,26.4,€498.30m,€19.17m
France,26,27,€1.52bn,€58.58m
Algeria,26,26.9,€256.90m,€9.88m
Haiti,26,27.6,€55.90m,€2.15m
Iran,26,30.4,€32.05m,€1.23m
New Zealand,26,28.1,€34.35m,€1.32m
Turkey,26,27.7,€473.70m,€18.22m
Argentina,25,29.1,€782.50m,€31.30m
South Korea,26,28.1,€139.05m,€5.35m
Curaçao,26,28,€25.78m,€991k
Austria,26,28.6,€245.20m,€9.43m
Switzerland,26,28.3,€332.50m,€12.79m
Senegal,26,27.1,€478.10m,€18.39m
Croatia,26,28.4,€387.30m,€14.90m
Australia,26,27.4,€77.45m,€2.98m
Brazil,26,29.4,€928.20m,€35.70m
Ivory Coast,26,25.9,€522.10m,€20.08m
United States,26,26.9,€385.65m,€14.83m
Colombia,26,30.1,€302.35m,€11.63m
Czech Republic,26,27.6,€188.18m,€7.24m
Jordan,26,28.5,€20.30m,€781k
Canada,26,27,€198.65m,€7.64m
Panama,26,30.5,€34.55m,€1.33m
Sweden,26,27.6,€406.08m,€15.62m
Uzbekistan,26,28.5,€85.33m,€3.28m
Scotland,26,29.2,€170.25m,€6.55m
Tunisia,26,26.7,€69.95m,€2.69m
Qatar,26,29.5,€19.93m,€766k
Egypt,26,29.1,€116.48m,€4.48m
South Africa,26,26.8,€49.25m,€1.89m
Mexico,26,27.9,€191.85m,€7.38m
Ghana,27,26.8,€234.60m,€8.69m
Uruguay,26,28.8,€359.30m,€13.82m
Iraq,26,26.9,€21.20m,€815k
Cape Verde,26,29.7,€54.50m,€2.10m
DR Congo,26,29.1,€143.90m,€5.53m
Bosnia and Herzegovina,26,26.4,€151.60m,€5.83m
Saudi Arabia,26,28.5,€40.68m,€1.56m
Ecuador,26,26.1,€368.70m,€14.18m
Paraguay,26,29.1,€153.65m,€5.91m
